mdate,coid,月營收(累計)
2020-03-01 00:00:00+00:00,2060,235.121
2020-03-01 00:00:00+00:00,2060M,235.121
2020-03-01 00:00:00+00:00,2061,139.828
2020-03-01 00:00:00+00:00,2101,2174.873
2020-03-01 00:00:00+00:00,2101M,2174.873
2020-03-01 00:00:00+00:00,2106,6542.971
2020-03-01 00:00:00+00:00,2106M,6542.971
2020-03-01 00:00:00+00:00,2204,7643.903
2020-03-01 00:00:00+00:00,2204M,7643.903
2020-03-01 00:00:00+00:00,2206,8201.196
2020-03-01 00:00:00+00:00,2230,97.548
2020-03-01 00:00:00+00:00,2230M,97.548
2020-03-01 00:00:00+00:00,2231,862.115
2020-03-01 00:00:00+00:00,2231M,862.115
2020-03-01 00:00:00+00:00,2249,658.358
2020-03-01 00:00:00+00:00,2249M,658.358
2020-03-01 00:00:00+00:00,2301,32585.27
2020-03-01 00:00:00+00:00,2301M,32585.27
2020-03-01 00:00:00+00:00,2308,55678.034
2020-03-01 00:00:00+00:00,2308M,55678.034
2020-03-01 00:00:00+00:00,2314,903.421
2020-03-01 00:00:00+00:00,2314M,903.421
2020-03-01 00:00:00+00:00,2323M,2663.957
2020-03-01 00:00:00+00:00,2324,182047.265
2020-03-01 00:00:00+00:00,2324M,182047.265
2020-03-01 00:00:00+00:00,2329,3642.533
2020-03-01 00:00:00+00:00,2329M,3642.533
2020-03-01 00:00:00+00:00,2337,9415.158
2020-03-01 00:00:00+00:00,2337M,9415.158
2020-03-01 00:00:00+00:00,2344,11549.003
2020-03-01 00:00:00+00:00,2344M,11549.003
2020-03-01 00:00:00+00:00,2345,11724.252
2020-03-01 00:00:00+00:00,2349,1572.52
2020-03-01 00:00:00+00:00,2349M,1572.52
2020-03-01 00:00:00+00:00,2355,4125.619
2020-03-01 00:00:00+00:00,2355M,4125.619
2020-03-01 00:00:00+00:00,2360M,3370.949
2020-03-01 00:00:00+00:00,2367,3632.062
2020-03-01 00:00:00+00:00,2367M,3632.062
2020-03-01 00:00:00+00:00,2368,5061.901
